ra,ra_error,dec,dec_error,source_id,parallax,parallax_error,ra_dec_corr,ra_parallax_corr,dec_parallax_corr
266.96493610854,0.3567,-26.80712746339,0.3177,4066823585339434112,0.4095,0.3938,0.2186,0.3418,-0.1468
266.96542669632,0.4274,-26.80728492677,0.3825,4066823585339431040,0.6762,0.4827,0.2908,0.3235,-0.1146
266.96505088036,0.1888,-26.80602959418,0.1839,4066823581054784128,0.272,0.2391,-0.1267,0.1109,-0.4183
266.96017951764,1.1557,-26.80843044837,1.0898,4066823581044164096,-0.8097,1.1107,0.5563,-0.0199,-0.246
266.95956901224,0.7877,-26.80645628719,0.7338,4066823581044163456,-1.9332,0.9151,-0.0211,0.0397,-0.2654
266.96188771137,0.3732,-26.8072497889,0.3376,4066823581044165632,0.3167,0.3694,0.3952,0.1525,-0.0286
266.96244339974,0.345,-26.80809361273,0.321,4066823581044166400,-0.4571,0.3972,0.0403,0.033,-0.3012
266.96376665462,0.3106,-26.80678063476,0.2815,4066823585339441408,1.0643,0.3202,0.3093,0.2659,-0.0937
266.96070527077,0.4153,-26.80516147346,0.3874,4066823585339467008,-0.276,0.5074,0.0877,0.0525,-0.2971
266.9635751523,0.5604,-26.80452611798,0.5173,4066823585339455360,-0.0368,0.6802,-0.3914,-0.0413,-0.1805
266.96328658173,0.2804,-26.8045814965,0.2478,4066823581039746816,0.7878,0.3145,0.2252,0.3592,-0.1488
266.96736052016,0.703,-26.80750240604,0.6826,4066823585339424256,0.3707,0.9188,-0.1053,0.2245,-0.4196
266.96512697971,0.5733,-26.8057522484,0.5543,4066823585360943488,1.0393,0.7884,-0.0626,0.1313,-0.3786
266.96681366762,0.2269,-26.80639923079,0.2165,4066823581044171648,0.9062,0.2779,-0.0136,0.147,-0.3265
266.96794511681,1.6215,-26.80394238424,1.284,4066823585352618496,-0.3271,1.2355,-0.0062,0.4524,-0.0563
266.97104596453,0.2091,-26.80494441124,0.1886,4066823585360938112,0.6314,0.2084,0.3542,0.1878,-0.0816
266.97134596196,1.2412,-26.80366730556,1.1652,4066823585360939648,2.8513,1.2806,0.5218,-0.063,-0.266
266.96467341745,1.4823,-26.80366666912,1.4105,4066823585339454464,1.3327,1.6974,0.2145,0.2654,-0.3668
266.96491347552,0.8299,-26.80325548606,0.8852,4066823585360948096,1.1829,1.3511,0.1071,-0.1143,-0.5713
266.9650575484,0.0921,-26.80170216835,0.0879,4066823581039758208,0.3592,0.1046,-0.1697,0.2418,-0.3615
266.96432568471,0.1204,-26.80222413865,0.1139,4066823585339465856,0.4489,0.1437,-0.0577,0.1614,-0.3014
266.96768555916,0.6639,-26.80102452686,0.6173,4066823581044172544,0.6307,0.8055,0.0852,0.0484,-0.3038
266.96904341123,0.3713,-26.80104280308,0.3441,4066823581044173952,0.6502,0.4322,0.0856,0.0086,-0.3041
266.96804594088,0.3556,-26.80042052432,0.331,4066823585339456896,0.8535,0.4208,0.0753,0.121,-0.3012
266.96785753311,0.2307,-26.79829433682,0.2105,4066823581045349248,0.3576,0.2496,0.197,-1.0E-4,-0.199
266.96809162893,0.6434,-26.7997603042,0.5906,4066823585346039296,1.6611,0.7317,-0.0138,0.0558,-0.2748
266.9811019724,0.3485,-26.80609068757,0.3013,4066776680001315072,0.8392,0.3481,0.4194,0.205,-0.071
266.97742465066,0.5122,-26.80539038899,0.4776,4066823615403921280,0.8181,0.6212,0.0606,0.0275,-0.303
266.97889647488,0.2369,-26.80469864863,0.2115,4066823615403923072,0.6316,0.2785,0.1145,-0.0665,-0.3077
266.98243948268,0.5432,-26.80481295348,0.5031,4066823615403927040,0.8313,0.662,0.0837,-0.0102,-0.2894
266.97588442114,0.5768,-26.80358679389,0.5377,4066823615403919488,0.3477,0.7108,0.0818,-0.0315,-0.2457
266.97684786686,1.7253,-26.80268219631,1.4927,4066823619707453568,0.0193,1.9617,-0.1809,0.35,-0.4488
266.9740230694,0.1667,-26.80253158309,0.1472,4066823615399491840,0.2575,0.1839,0.265,0.0863,-0.2144
266.97418342152,0.7221,-26.80382877168,0.6672,4066823619699153408,1.0456,0.8181,0.2153,0.0978,-0.2276
266.97576939507,1.0305,-26.8014321466,0.8712,4066823619699158784,1.3851,1.0932,0.4546,0.2749,-0.086
266.97757342896,0.2503,-26.80019195262,0.2214,4066823615403921536,0.4372,0.2763,0.2424,-0.018,-0.2302
266.9831139351,1.2844,-26.80120523429,1.0101,4066823619707452800,2.3591,1.1504,0.467,0.3601,-0.0413
266.98597208794,1.2683,-26.79654149795,1.1052,4066823619699145344,1.194,1.3269,0.4113,-0.058,-0.3262
266.98159385,0.2624,-26.79792047418,0.226,4066823619720673920,0.3045,0.26,0.4314,0.2069,-0.0582
266.98328858342,0.4648,-26.79718234392,0.4346,4066823619699149312,0.7426,0.5563,0.0837,0.0967,-0.3045
266.98137538178,1.3562,-26.79594005343,1.1113,4066823619707456384,0.1222,1.1845,0.5958,0.1556,-0.1903
266.98409713316,0.3024,-26.79656754501,0.2616,4066823615405105408,0.9721,0.2993,0.4394,0.1861,-0.0423
266.98543811292,0.5978,-26.79645269914,0.5565,4066823615405107200,0.0164,0.7173,0.0877,0.0471,-0.2831
266.97453904605,1.0137,-26.80170414102,0.8828,4066823619722477568,-1.3701,1.1723,0.3487,0.0939,-0.3647
266.97242737883,1.792,-26.80019912598,1.4317,4066823619707457792,-0.0748,1.6126,0.5495,0.2659,-0.1864
266.97785186128,0.4962,-26.79822717604,0.4559,4066823619720677888,-0.724,0.5983,0.0702,0.0039,-0.2611
266.97705430815,1.1332,-26.79865485864,0.9575,4066823619707456512,-0.6689,1.159,0.284,0.1994,-0.2354
266.97346303843,0.7215,-26.79699532448,0.6625,4066823619720685312,-3.1254,0.876,0.0363,0.0226,-0.2582
266.97470628095,0.229,-26.79452529,0.2007,4066823619720687488,0.1095,0.2505,0.1879,-0.0124,-0.2154
266.97269954842,0.8271,-26.79393196784,0.7234,4066823615405094144,0.3798,0.9401,0.4297,0.1244,-0.315
266.97450910936,0.5803,-26.79400104462,0.5641,4066823619720689280,-0.3422,0.7732,-0.0199,0.1116,-0.4431
266.9723035689,1.4286,-26.79441667637,1.2427,4066823619707462400,-0.8177,1.4997,0.3614,-0.0277,-0.3399
266.97989723529,1.2335,-26.79687401058,1.0997,4066823619705772800,3.0125,1.2321,0.5106,-0.0016,-0.2826
266.97895102086,0.4784,-26.79340049478,0.4484,4066823619699182464,0.9218,0.5708,0.0873,0.0777,-0.3046
266.98125353985,0.7,-26.79102573153,0.6483,4066823615405103104,0.823,0.8421,0.0962,0.0524,-0.2734
266.97772129443,1.5672,-26.79261068364,1.2337,4066823619707460096,-1.0233,1.3671,0.4852,0.3401,0.0085
266.97544334391,0.8169,-26.79118574809,0.6829,4066823619699214336,0.9662,0.6824,-0.6289,-0.3868,0.2576
266.97510862304,0.1897,-26.79163567677,0.1699,4066823615399531136,0.4473,0.227,0.1367,-0.0572,-0.3118
266.97597440253,0.3638,-26.79089583289,0.3349,4066823615405096832,0.4007,0.4173,0.0656,0.0074,-0.2822
266.98039863336,0.7646,-26.79028889134,0.702,4066823615405101824,3.3889,0.941,0.0996,-0.0194,-0.278
266.97698117509,0.6287,-26.79019568452,0.5826,4066823615405097472,-1.0551,0.753,0.077,0.0345,-0.2755
266.9791345276,0.1154,-26.78800076367,0.1009,4066823615399543936,0.4834,0.1266,0.154,-0.0304,-0.2173
266.95622486368,0.562,-26.8068027696,0.5479,4066823654080433280,1.3661,0.6945,0.2452,-0.0396,-0.466
266.95553599993,0.3409,-26.80620008512,0.3002,4066823654058965504,0.3989,0.3277,0.4085,0.2575,-0.0943
266.95604673641,0.2161,-26.80399308876,0.1907,4066823654058976384,0.3847,0.211,0.3688,0.2127,-0.1055
266.9577288443,0.5409,-26.80430709639,0.4974,4066823649763637376,0.9143,0.654,0.0686,-0.0039,-0.2659
266.95836244465,0.5711,-26.80453653824,0.5327,4066823654080433408,0.4686,0.6814,0.0737,0.0779,-0.2878
266.95949879373,0.5188,-26.80469715371,0.4821,4066823649763639936,-0.03,0.622,0.1084,0.0319,-0.2836
266.95912511961,0.6658,-26.80217905074,0.6353,4066823649763639552,1.8233,0.8674,0.0025,0.1927,-0.3944
266.95581694295,0.4108,-26.80366037215,0.3891,4066823649759227520,-0.2644,0.4431,0.6473,-0.2986,-0.5295
266.95521531832,0.9904,-26.8026570041,0.8975,4066823654058990080,-0.0482,1.0497,0.2927,0.1436,-0.2096
266.95386026817,0.1013,-26.80335057876,0.0919,4066823649759230336,0.1886,0.1086,0.1866,0.0886,-0.24
266.9543041856,0.4372,-26.8023116636,0.4027,4066823654080445184,0.9828,0.5212,0.1173,0.0592,-0.3306
266.95323813902,0.2399,-26.80158729163,0.2113,4066823649759233408,0.3413,0.2313,0.36,0.2333,-0.1009
266.95680400808,1.0773,-26.80238733227,1.2243,4066823654058979968,-0.1569,1.4892,0.4266,-0.4189,-0.7025
266.95854514275,0.5039,-26.80014299903,0.4827,4066823654058987264,0.4309,0.6516,-0.039,0.2579,-0.4297
266.96196474296,0.5096,-26.80288421672,0.4588,4066823649763642624,0.3614,0.5728,0.268,0.2956,-0.0977
266.96194585113,0.8426,-26.80224015446,0.812,4066823654058955520,1.6691,1.097,-0.0363,0.149,-0.3796
266.9631381534,0.2569,-26.80078864728,0.2272,4066823654058958720,0.6394,0.2757,0.2097,0.3507,-0.1156
266.96411479308,0.8869,-26.80140191928,0.7875,4066823654065517824,1.9078,1.1451,-0.1089,0.4385,-0.3927
266.9628383227,0.6173,-26.80030746438,0.5933,4066823654058961920,2.2858,0.8514,-0.0755,0.1504,-0.3698
266.96125237696,0.3263,-26.7992929031,0.3024,4066823649774236288,0.598,0.3752,-0.0876,0.3252,-0.3558
266.96182302226,0.8111,-26.79973794017,0.839,4066823654080436736,1.6469,1.2129,0.1644,-0.0247,-0.4961
266.96598050124,0.3693,-26.79927747341,0.3397,4066823654058952576,0.9514,0.4078,0.1788,0.0455,-0.2321
266.96581519561,0.2248,-26.79781585553,0.2046,4066823654058961536,0.4124,0.2462,0.2198,0.0708,-0.1805
266.96583276207,0.3775,-26.79690487893,0.3484,4066823654080435712,0.3972,0.4454,0.062,0.0356,-0.2598
266.96463957027,0.6328,-26.79632408538,0.6045,4066823654058977792,0.1251,0.6988,-0.2659,0.3126,-0.4574
266.95923031202,0.1086,-26.80022403837,0.1094,4066823654080440576,0.2433,0.1203,-0.5361,0.4316,-0.6405
266.95736093776,0.4061,-26.79748382858,0.3876,4066823649774213760,-0.8293,0.5328,-0.0507,0.2274,-0.4122
266.95864762854,1.1493,-26.79729637788,0.9793,4066823654059006464,1.3496,1.2017,0.0671,0.4701,-0.2676
266.95859254274,0.608,-26.79768041975,0.5869,4066823649764815360,0.7037,0.8128,-0.0519,0.2633,-0.4257
266.9588957037,0.6228,-26.79684426899,0.599,4066823654059012224,-0.9984,0.8495,-0.0231,0.1812,-0.3721
266.96216548821,0.6838,-26.79617878152,0.6332,4066823649764818816,-0.9821,0.7662,-0.0376,0.0544,-0.2817
266.96233318194,1.4278,-26.79568687767,1.3301,4066823654065528576,-0.1654,1.3482,0.465,0.0284,-0.2232
266.96403259192,0.9667,-26.79457893281,0.9127,4066823654058995328,0.8141,1.0535,0.2667,-0.0287,-0.3461
266.96064493909,0.2959,-26.79506048476,0.2702,4066823654080449280,-0.6312,0.2946,0.34,0.2443,-0.0195
266.96214926011,0.5416,-26.79345544259,0.5071,4066823649774241792,1.2139,0.6282,0.1196,0.0517,-0.334
266.95179449342,1.1192,-26.80234104336,0.994,4066823654065532160,1.2689,1.0399,0.3776,0.2362,-0.0961
266.95020107339,1.3427,-26.80203034226,1.1809,4066823649763630976,2.8281,1.2267,0.5211,0.2367,-0.1445
266.9513715625,0.5876,-26.80122512347,0.5489,4066823654059025280,-0.3174,0.7075,0.1679,0.0048,-0.378
266.95205697031,0.6821,-26.80016655176,0.6316,4066823649763631872,0.0083,0.8015,0.0183,0.1187,-0.3514
266.95245934567,1.5019,-26.80102957759,1.3058,4066823654070998784,-1.9434,1.3069,-0.1501,0.1822,-0.1802
266.95073171953,0.1831,-26.79901885741,0.1679,4066823649774178688,0.3932,0.1295,-0.7512,0.5614,-0.6468
266.9544985186,0.4204,-26.79909627313,0.3909,4066823654059020672,-1.6943,0.5128,0.0394,0.0414,-0.2955
266.95595921144,0.4353,-26.79769670247,0.3781,4066823654059021568,-0.1194,0.4675,0.2754,0.3623,-0.1456
266.95216102657,0.573,-26.798674311,0.5093,4066823649764806528,0.51,0.699,0.0474,-0.0542,-0.1804
266.95401117699,0.6297,-26.79656923528,0.4981,4066823654065538048,-0.0464,0.4316,-0.6545,0.6571,-0.5863
266.95303263658,1.4209,-26.79671993121,1.2675,4066823654070994816,0.1941,1.2179,0.0759,0.2599,-0.2231
266.94904030181,0.1397,-26.79973458492,0.1269,4066823654080457344,0.4205,0.1511,0.2131,0.1109,-0.2467
266.94803337417,0.4485,-26.79990290556,0.4135,4066823654059051520,0.3412,0.5336,0.1073,0.111,-0.3221
266.9510069395,0.5457,-26.79775714613,0.5012,4066823649764805504,1.0387,0.6469,0.1195,0.0791,-0.3104
266.9520665626,0.5031,-26.79494174654,0.4795,4066823654059061504,0.3165,0.6515,-0.0171,0.2808,-0.427
266.94976387471,0.1288,-26.79612760037,0.1168,4066823654080463616,0.5065,0.1361,0.1984,0.0959,-0.2334
266.95653444884,0.6163,-26.79651545542,0.6003,4066823649764812672,0.6735,0.7997,-0.2129,0.2657,-0.4814
266.95804708511,0.7204,-26.79487755484,0.6785,4066823654059031680,0.9533,0.9056,0.0337,0.0943,-0.2812
266.95584877446,0.4813,-26.79556276404,0.4327,4066823654059038848,0.5849,0.5737,0.2557,0.2334,-0.018
266.95499797733,0.4468,-26.79568846234,0.4198,4066823649764809728,0.6716,0.312,-0.8046,0.5338,-0.646
266.95962836503,0.5138,-26.79385873945,0.4817,4066823654059028352,-0.1178,0.6274,0.0432,0.0966,-0.2647
266.95936874238,0.398,-26.79461292445,0.3706,4066823654059024000,1.7606,0.3872,0.2477,0.1657,-0.0024
266.96033191528,1.3831,-26.79444423325,1.2752,4066823654059019392,-1.5547,1.453,0.3742,0.1817,-0.2206
266.95814855325,0.8633,-26.79206969896,0.8314,4066823654065540224,1.6251,0.9472,0.2397,0.0845,-0.3387
266.95962605951,0.4677,-26.79031088241,0.4338,4066823654059050240,-0.9704,0.56,0.0979,0.0909,-0.2823
266.95311067891,1.3999,-26.7943261933,1.296,4066823654081948544,-1.2569,1.688,0.2355,0.2843,-0.3765
266.95476531703,0.1223,-26.79373302938,0.1139,4066823649759262848,0.4081,0.1453,0.029,0.2283,-0.3271
266.95576071262,0.1854,-26.79200919161,0.1713,4066823654080461184,0.2697,0.2081,0.1547,-0.0318,-0.1405
266.95484963093,0.551,-26.79102909686,0.5178,4066823654059074816,2.0961,0.6629,0.0667,0.1007,-0.2741
266.95342345687,1.0575,-26.79105797328,0.942,4066823649764807808,0.2945,1.1612,0.2933,0.3382,-0.178
266.95532850079,0.9137,-26.79032488059,0.8775,4066823654059078272,0.09,1.0578,0.2849,-0.0404,-0.3085
266.96687196076,1.8642,-26.7967781655,1.6916,4066823684124563200,0.6033,1.5942,0.0777,0.0879,-0.2195
266.96975182308,0.1412,-26.79141730795,0.1295,4066823688440178432,0.3009,0.1531,0.1908,0.0254,-0.1993
266.96882844001,0.5775,-26.79006872065,0.5332,4066823688440183424,-0.7759,0.6986,0.0788,0.0426,-0.2623
266.9692059314,0.6429,-26.7906625195,0.5661,4066823688418729216,1.3874,0.8087,0.0087,-0.1502,-0.1472
266.96918562778,0.3213,-26.78951110457,0.2862,4066823688440183936,0.386,0.3715,0.1835,-0.0871,-0.178
266.96653257335,1.2011,-26.78901870518,1.0501,4066823688418758400,-0.7164,1.1883,0.5684,0.117,-0.2384
266.96617170878,1.495,-26.78948036654,1.2227,4066823688426951296,2.6297,1.4358,0.3241,0.2433,-0.0709
266.97364479854,0.729,-26.79131111773,0.671,4066823688418699392,-0.6623,0.8297,0.2062,0.0881,-0.2091
266.97279075977,0.4561,-26.79145623888,0.4243,4066823684119009024,0.0724,0.5457,0.1588,0.1117,-0.2785
266.974177782,0.2731,-26.79077548636,0.2363,4066823688418699648,-0.0066,0.2714,0.4347,0.1869,-0.0663
266.97199283217,1.2521,-26.78964380874,1.0734,4066823688425263104,0.3499,1.2603,0.5528,0.1229,-0.1807
266.97109440217,0.8046,-26.78971483714,0.7357,4066823688418724352,-2.4281,0.9707,0.1806,-0.0361,-0.2198
266.97359022287,1.1,-26.78835648442,0.9432,4066823688425262976,1.2105,1.1317,0.3379,0.1976,-0.1829
266.9768870364,1.1876,-26.78861761202,1.0153,4066823688426941952,-0.5915,1.2086,0.4573,0.0836,-0.3208
266.97681173668,0.4703,-26.7870083851,0.4354,4066823684124573952,0.505,0.5612,0.1118,0.0528,-0.2659
266.97010152126,1.0628,-26.78626025341,0.8887,4066823688418757376,-1.5346,1.2649,0.4564,0.3475,-0.2752
266.97496815566,1.7211,-26.78443763969,1.3987,4066823688426950144,2.1211,1.4551,0.617,0.2302,-0.1058
266.97270833891,0.8431,-26.78491344656,0.7691,4066823688418751872,0.2607,0.9313,0.4194,0.0782,-0.3328
266.97184726337,0.7908,-26.78531413527,0.7309,4066823688440188160,0.9824,0.9561,0.1111,0.032,-0.2664
266.97273359547,0.6181,-26.78543947592,0.5633,4066823688418747648,0.5919,0.6685,0.1556,0.1114,-0.213
266.9623381985,0.7161,-26.79255616992,0.671,4066823684124557312,0.2718,0.8294,-0.068,0.0969,-0.3385
266.96468593798,0.683,-26.79013857205,0.628,4066823688418761728,-0.1679,0.8063,0.1143,0.0697,-0.2584
266.96213358164,1.6337,-26.78787075766,1.4215,4066823688425279616,0.8682,1.617,0.5263,0.1021,-0.1605
266.96446554999,0.5245,-26.78815243125,0.4851,4066823684124559616,-0.0874,0.6322,0.066,0.0469,-0.2674
266.96496378517,0.1691,-26.78905689062,0.1483,4066823688440191616,0.4204,0.1905,0.2393,0.1347,-0.2406
266.96561191112,0.7488,-26.78878167508,0.6863,4066823688418766592,2.2839,0.8872,0.0601,0.0287,-0.2395
266.96588630459,0.301,-26.78785829904,0.259,4066823688418765056,-0.1661,0.3031,0.4263,0.1936,-0.0742
266.966394812,0.167,-26.78823698361,0.1511,4066823684134005760,-0.2895,0.2035,0.0974,0.0226,-0.3306
266.96067726806,0.3594,-26.7867207269,0.3293,4066823684124556032,-1.3507,0.4559,0.2041,0.0554,-0.3536
266.96234958203,0.0467,-26.78729817833,0.0417,4066823684119025152,0.4667,0.0549,0.014,-0.0511,-0.3228
266.96370071851,0.4673,-26.78571904633,0.4298,4066823688418795264,-0.3244,0.5501,0.1428,0.0488,-0.2387
266.96297889444,0.3407,-26.78448376481,0.2891,4066823688440202624,0.8532,0.3691,0.3123,0.2989,-0.1708
266.96359205211,0.6866,-26.78371095565,0.6025,4066823688418812160,1.5991,0.9053,0.1182,0.2138,-0.3084
266.96152965171,0.5773,-26.78506926256,0.5278,4066823688418816384,0.1854,0.693,0.1241,-0.0023,-0.2556
266.9604396918,0.634,-26.78494671217,0.5888,4066823684124555648,0.1081,0.7749,0.0984,0.0295,-0.3089
266.96255466153,0.6536,-26.78360586018,0.6009,4066823684124557568,-1.6311,0.7946,0.0561,0.003,-0.2727
266.96935578352,1.335,-26.78538408759,1.0774,4066823688441956736,0.7523,1.4026,0.3127,0.2929,-0.0676
266.96888383542,0.4012,-26.78421667138,0.3683,4066823684124565504,0.6673,0.4371,0.2152,0.0421,-0.2075
266.96650331182,0.3253,-26.78417949242,0.2803,4066823684134008832,1.3214,0.3242,0.4279,0.2202,-0.076
266.96780255413,1.1411,-26.78252816749,0.973,4066823688425280512,3.4041,1.1284,0.5594,0.1484,-0.1569
