ID_member,RAJ2000,DEJ2000,member_GDR2,member_DANCe,member_DANCe_Central,new_member,Full_region,Middle_region,Core_region,WD,EPIC,CWW,Comments,probability_DANCe_Central,ID_DANCe,e_Y,Y,g_sdss,i_sdss,e_r_sdss,e_Ks,H,e_i_sdss,z_sdss,e_z_sdss,Ks,e_g_sdss,u_sdss,e_H,e_u_sdss,e_RAJ2000,e_DEJ2000,e_J,r_sdss,J,probability_DANCe,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra_error,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,duplicated_source,phot_g_mean_mag,phot_g_mean_mag_error,phot_bp_mean_mag,phot_bp_mean_mag_error,phot_rp_mean_mag,phot_rp_mean_mag_error,radial_velocity,radial_velocity_error,astrometric_excess_noise,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,phot_variable_flag,ra_epoch2000,ra_epoch2000_error,dec_epoch2000,dec_epoch2000_error,a_g_val,ID_GDR2,probability_GDR2,pmra,pmdec
259,286.577835918,-13.8008297875,false,true,false,true,true,true,false,false,,,,,10085187,0.05000000074505806,13.04800033569336,14.180000305175781,13.270999908447266,0.05000000074505806,0.054999999701976776,11.669,0.05000000074505806,13.178000450134277,0.050999999046325684,11.57699966430664,0.05000000074505806,15.833000183105469,0.05682429,0.13699999451637268,0.8863999843597412,0.7358999848365784,0.054999999701976776,13.595999717712402,12.043999671936035,0.736601194479747,4197452198170458624,286.57783106464,0.0299,-13.8009384823,0.0339,1.4758,0.0432,0.057,0.047,-0.323,0.0896,0.1173,0,13.533,3.0E-4,14.0333,0.0025,12.8792,9.0E-4,,,0.0,3504.345,440.345,1214.253,NOT_AVAILABLE,286.577835918,0.8864,-13.8008297875,0.7359,,13127422,9.17078132967756E-106,-1.0950000286102295,-25.2450008392334
258,287.164554916,-13.6497964942,false,true,false,true,true,true,false,false,,,,,10048769,0.05000000074505806,15.73799991607666,19.225000381469727,16.636999130249023,0.050999999046325684,99.0,13.779,0.05000000074505806,16.031999588012695,0.05000000074505806,99.0,0.050999999046325684,99.0,0.07142129,99.0,2.7988998889923096,2.4514000415802,0.0689999982714653,17.916000366210938,14.354000091552734,0.951864566515844,4197424194982998144,287.16454756331,0.0923,-13.64990993241,0.0846,3.7009,0.1022,0.18,0.158,-0.1766,0.0488,0.0912,0,17.2283,0.0014,18.6835,0.0303,16.0442,0.0051,,,0.267,769.277,35.821,212.289,NOT_AVAILABLE,287.164554916,2.7989,-13.6497964942,2.4514,,13091004,0.0545452151951527,-1.659999966621399,-26.347000122070312
257,291.326538493,-14.0692542115,false,true,false,true,true,true,false,false,,,,,9520420,0.050999999046325684,16.35099983215332,20.027999877929688,17.2810001373291,0.052000001072883606,0.07199999690055847,14.288,0.05000000074505806,16.665000915527344,0.050999999046325684,14.038000106811523,0.050999999046325684,99.0,0.054626,99.0,4.4721999168396,4.127200126647949,0.06300000101327896,18.70199966430664,14.944999694824219,0.932025480041679,4184845605842332928,291.32653629746,0.1471,-14.06937193829,0.1362,2.6993,0.1631,0.288,0.266,-0.2671,0.0608,0.3072,0,17.9522,0.0018,19.389,0.0665,16.7165,0.0099,,,0.624,603.483,16.336,109.748,NOT_AVAILABLE,291.326538493,4.4722,-14.0692542115,4.1272,,11211037,0.052059568975112,-0.4950000047683716,-27.343000411987305
256,285.240526061,-14.7439040201,false,true,false,true,true,true,false,false,220070265,,,,8764012,0.050999999046325684,16.076000213623047,19.645000457763672,16.975000381469727,0.050999999046325684,0.07100000232458115,13.932,0.05000000074505806,16.35700035095215,0.05000000074505806,13.767999649047852,0.05299999937415123,99.0,0.070007145,99.0,4.651400089263916,4.291200160980225,0.06300000101327896,18.277000427246094,14.70199966430664,0.799267305859579,4101219779417245696,285.24051669781,0.1644,-14.74402114295,0.1398,2.3359,0.2088,0.3,0.277,-0.4485,0.3292,0.2045,0,17.6455,0.0016,19.0785,0.0616,16.4222,0.0089,,,0.606,673.971,17.623,121.45,NOT_AVAILABLE,285.240526061,4.6514,-14.7439040201,4.2912,,7822560,0.00175332099782225,-2.1029999256134033,-27.202999114990234
255,286.241408758,-15.5948140305,false,true,false,true,true,true,false,false,219856935,,,,8522370,0.05000000074505806,15.3100004196167,18.68400001525879,16.136999130249023,0.05000000074505806,0.06199999898672104,13.353,0.050999999046325684,15.59000015258789,0.05000000074505806,13.03499984741211,0.05000000074505806,99.0,0.06280127,99.0,3.218100070953369,2.968600034713745,0.05900000035762787,17.384000778198242,13.982999801635742,0.872384297670303,4089095052377089280,286.24140523672,0.1063,-15.59493456886,0.0997,3.8747,0.1097,0.208,0.191,-0.1822,0.0551,0.3149,0,16.7953,0.0012,18.188,0.0127,15.6322,0.0048,,,0.379,920.924,85.168,228.128,NOT_AVAILABLE,286.241408758,3.2181,-15.5948140305,2.9686,,6121042,0.0138292005408005,-0.7879999876022339,-27.996000289916992
254,286.347896457,-16.2444658246,false,true,false,true,true,true,false,false,219635263,,,,8428799,0.08500000089406967,13.095999717712402,14.722000122070312,13.475000381469727,0.05000000074505806,0.06700000166893005,11.572,0.050999999046325684,13.369000434875488,0.05000000074505806,11.378000259399414,0.05000000074505806,16.823999404907227,0.0750733,0.1850000023841858,1.1368000507354736,1.007099986076355,0.07100000232458115,13.777000427246094,12.034000396728516,0.98561588347909,4088801723287036800,286.34789140557,0.0372,-16.24458168437,0.0364,2.4987,0.0439,0.073,0.065,-0.2185,0.081,0.2822,0,14.9035,0.001,,,,,,,0.074,1092.634,,,NOT_AVAILABLE,286.347896457,1.1368,-16.2444658246,1.0071,,5791120,4.61716908094624E-24,-1.1260000467300415,-26.909000396728516
253,289.223175241,-19.3783871022,false,true,false,false,true,true,false,false,218118532,,,,7477167,0.050999999046325684,15.984999656677246,19.40999984741211,16.84000015258789,0.050999999046325684,0.0729999989271164,14.079,0.05000000074505806,16.277000427246094,0.05000000074505806,13.722000122070312,0.05299999937415123,99.0,0.0666033,99.0,3.8701000213623047,3.1379001140594482,0.06300000101327896,18.110000610351562,14.73799991607666,0.79549065315158,4083839867817876352,289.22317181107,0.1243,-19.3784946728,0.1043,3.4255,0.1251,0.25,0.202,-0.0707,0.0241,0.0593,0,17.4631,0.0018,18.8941,0.029,16.2916,0.0084,,,0.0,609.767,37.497,129.217,NOT_AVAILABLE,289.223175241,3.8701,-19.3783871022,3.1379,,1558213,0.836169534928519,-0.7519999742507935,-24.983999252319336
252,287.085934819,-17.8902016871,false,true,false,true,true,true,false,false,218927928,,,,7177661,0.05000000074505806,13.07699966430664,14.496999740600586,13.407999992370605,0.05000000074505806,0.0560000017285347,11.526,0.06300000101327896,13.222000122070312,0.05000000074505806,11.345000267028809,0.05000000074505806,16.43600082397461,0.05936329,0.14300000667572021,1.38100004196167,0.9799000024795532,0.057999998331069946,13.732000350952148,12.036999702453613,0.987648157790296,4087451282486444544,287.08592915795,0.0481,-17.89031842893,0.0398,2.6243,0.0631,0.089,0.063,-0.2006,-0.2575,-0.1382,0,13.6868,5.0E-4,14.2839,0.0021,12.964,0.0016,,,0.0,2358.415,524.251,688.163,NOT_AVAILABLE,287.085934819,1.381,-17.8902016871,0.9799,0.804,4334755,2.24990594488436E-12,-1.2510000467300415,-27.11400032043457
251,286.347842559,-16.244170125,false,true,false,true,true,true,false,false,219635263,,,,7142551,0.08500000089406967,13.095999717712402,14.722000122070312,13.475000381469727,0.05000000074505806,0.06700000166893005,11.572,0.050999999046325684,13.369000434875488,0.05000000074505806,11.378000259399414,0.05000000074505806,16.823999404907227,0.0750733,0.1850000023841858,0.9110999703407288,0.8069000244140625,0.07100000232458115,13.777000427246094,12.034000396728516,0.957231375261769,4088801723276726528,286.34783600606,0.0297,-16.24428747392,0.0291,2.6265,0.0348,0.059,0.052,-0.2246,0.079,0.2616,0,14.2805,5.0E-4,14.5234,0.0115,13.1326,0.0139,,,0.0,2108.222,94.719,77.982,NOT_AVAILABLE,286.347842559,0.9111,-16.244170125,0.8069,,5791121,2.96538490361104E-25,-1.4609999656677246,-27.2549991607666
250,292.174550359,-15.9730297234,false,true,false,true,true,true,false,false,219732867,,,,5862787,0.05000000074505806,15.980999946594238,19.680999755859375,16.941999435424805,0.050999999046325684,0.07999999821186066,14.213,0.050999999046325684,16.329999923706055,0.05000000074505806,13.934000015258789,0.052000001072883606,99.0,0.08765843,99.0,4.5269999504089355,4.103499889373779,0.07599999755620956,18.34600067138672,14.741999626159668,0.804570455238332,4181346203929931776,292.17455107718,0.155,-15.97314329402,0.1444,2.1913,0.181,0.292,0.265,-0.3569,0.0714,0.3904,0,17.8961,0.002,19.3686,0.0324,16.5958,0.0195,,,0.49,552.807,33.556,55.714,NOT_AVAILABLE,292.174550359,4.527,-15.9730297234,4.1035,,10138194,2.9484373707016E-5,0.1599999964237213,-26.378000259399414
