ID_member,designation,ra,ra_error,dec,dec_error,solution_id,source_id,random_index,ref_epoch,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_g_mean_mag_error,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_mag_error,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_mag_error,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,ra_epoch2000,ra_epoch2000_error,dec_epoch2000,dec_epoch2000_error,probability_GDR2
234,Gaia DR2 4185667112826157696,289.77032096281,0.0398,-13.46011559008,0.0361,1635721458409799680,4185667112826157696,7930089,2015.5,3.2002,0.0461,69.3863,-0.705,0.082,-26.887,0.063,-0.1757,0.1042,0.1463,-0.3896,-0.5433,-0.3332,0.0214,0.0477,-0.1004,-0.2461,115,0,115,0,-2.4943,76.47,0.0,0.0,31,0,31.1338,1.4434,0.0082,-0.096,13,10,0.08537832,0,13,0,114,25637.77710790981,16.230947282654856,1579.561,14.6662,7.0E-4,12,9470.39285078436,43.15341817488595,219.459,15.4105,0.0049,13,23892.777726008455,45.54753585849068,524.568,13.8163,0.0021,1.301,1,1.5942,0.7443,0.8499,,,0,,,,NOT_AVAILABLE,23.88056292159,-12.13903662882,289.4357213354,8.65518016155,100002,4318.5,4105.15,4556.96,0.6,0.24,0.7811,0.2893,0.0919,0.3796,200111,0.66,0.6,0.73,0.138,0.133,0.142,289.770324086,1.2774,-13.4599998272,0.983,0.990849668593348
233,Gaia DR2 4185533526471769088,289.72193263126,0.0465,-14.42700360075,0.0423,1635721458409799680,4185533526471769088,758882516,2015.5,3.2604,0.053,61.5349,-1.199,0.091,-27.801,0.077,-0.0228,0.3106,-0.4147,-0.1926,-0.431,-0.0579,-0.469,-0.3546,0.1489,0.0958,130,130,127,3,5.0197,217.43,0.0,1.2660035599406398E-15,31,1,263.4059,1.6158,0.0095,-0.027,16,10,0.05746456,0,16,0,122,1463900.4137752329,565.907253636365,2586.82,10.2746,4.0E-4,16,755888.2185082424,764.9948061980054,988.096,10.6552,0.0011,11,1008592.3771692043,476.43135738620003,2116.973,9.7526,5.0E-4,1.205,0,0.9026,0.3807,0.522,,,0,,,,NOT_AVAILABLE,22.96496034237,-12.50909796991,289.25608723152,7.70362177358,100001,5474.06,5394.94,5561.41,,,,,,,200111,2.63,2.54,2.7,5.576,5.453,5.699,289.721937962,1.4047,-14.4268839014,1.1991,0.999531905864432
232,Gaia DR2 4185236383460552192,288.86118890547,0.0377,-14.20486967347,0.0347,1635721458409799680,4185236383460552192,153431263,2015.5,3.0581,0.0401,76.35,-0.942,0.072,-25.746,0.061,0.2842,-0.0308,-0.3641,-0.306,-0.2661,-0.2215,-0.431,-0.2179,-0.0677,0.1181,142,142,141,1,0.8551,149.88,0.0,0.0,31,1,314.321,1.5794,0.0087,0.036,16,11,0.049814843,0,16,0,138,235536.30548423546,45.50772074473154,5175.744,12.2582,2.0E-4,15,120914.75762785571,185.05151415995792,653.411,12.6452,0.0017,15,164787.29948216846,158.94784487472603,1036.738,11.7196,0.001,1.213,0,0.9256,0.387,0.5386,,,0,,,,NOT_AVAILABLE,22.80654228417,-11.66002382031,288.45133476601,8.034435079,100001,5466.0,5412.75,5497.0,0.3943,0.171,0.5441,0.163,0.0875,0.2582,200111,1.13,1.11,1.15,1.021,1.001,1.04,288.861193089,1.1137,-14.204758823,0.9395,0.984052316202805
231,Gaia DR2 4184913676789036160,290.83953497227,0.1051,-13.85583791279,0.0932,1635721458409799680,4184913676789036160,347131181,2015.5,3.3638,0.1194,28.1778,-2.39,0.204,-25.868,0.169,0.1704,0.0217,-0.235,-0.2796,-0.3516,-0.1676,-0.275,-0.2367,0.0425,0.1813,194,0,193,1,2.5351,240.78,0.355,1.8880801868272405,31,0,1.3291,1.3056,0.0248,0.029,22,11,0.19371516,0,22,0,193,1868.385001984772,2.26042534448558,826.564,17.5097,0.0013,19,402.5491239168592,17.825370981737965,22.583,18.8393,0.0481,20,2442.3958533651135,17.08121717634271,142.987,16.2924,0.0076,1.523,0,2.547,1.3296,1.2173,,,0,,,,NOT_AVAILABLE,23.96760906486,-13.24757466485,290.41985067791,8.11836686098,,,,,,,,,,,,,,,,,,290.839545571,3.157,-13.8557265351,2.6207,0.896920903881383
230,Gaia DR2 4184719200659984640,290.45999503987,0.1867,-14.57622973408,0.1925,1635721458409799680,4184719200659984640,999243003,2015.5,3.7016,0.2273,16.2826,-1.514,0.352,-28.598,0.32,0.3634,-0.0974,-0.189,-0.3268,-0.375,-0.1262,-0.3565,-0.3953,0.1175,0.3365,153,0,153,0,0.2844,152.27,0.0,0.0,31,0,0.4923,1.7877,0.0498,0.099,18,10,0.35757375,0,19,0,151,744.6897709615811,2.064653346808937,360.685,18.5084,0.003,11,610.6446907386829,10.698012813239544,57.08,18.3869,0.019,12,342.2389497716609,21.439620905288013,15.963,18.4261,0.068,1.28,0,-0.0392,-0.1215,0.0823,,,0,,,,NOT_AVAILABLE,23.13713922455,-13.21950004233,289.94930265943,7.4573237844,,,,,,,,,,,,,,,,,,290.460001776,5.4555,-14.5761066035,4.9603,0.998214402610327
229,Gaia DR2 4184343197746728832,289.25144675893,0.0382,-15.18176401483,0.0412,1635721458409799680,4184343197746728832,1070390255,2015.5,3.3197,0.0567,58.5516,-1.076,0.081,-27.685,0.073,0.1651,0.0658,-0.2458,-0.0936,-0.5695,0.1903,-0.3716,-0.4909,0.2989,0.1961,141,141,141,0,-1.3846,113.83,0.0,0.0,31,0,384.9105,1.5872,0.01,0.113,16,10,0.051037204,0,16,0,138,318917.1232660931,48.79016102963313,6536.505,11.9292,2.0E-4,14,163398.63311207521,268.7945188405721,607.894,12.3183,0.0018,14,223480.3350287683,252.19243380991875,886.15,11.3888,0.0012,1.213,0,0.9294,0.3891,0.5404,40.2,0.32,2,5500.0,3.5,0.0,NOT_AVAILABLE,22.0673240243,-12.41775650102,288.69974033703,7.01650783999,100001,5454.0,5385.33,5608.0,0.406,0.2642,0.5088,0.201,0.1319,0.253,200111,1.21,1.15,1.24,1.174,1.148,1.201,289.251451558,1.2509,-15.1816448143,1.1358,0.989831997159633
228,Gaia DR2 4184312003414626688,290.21507555391,0.0393,-15.1453013092,0.0345,1635721458409799680,4184312003414626688,421754926,2015.5,3.4954,0.0431,81.0907,-1.17,0.074,-28.664,0.061,0.3241,-0.1273,-0.2682,-0.2979,-0.2869,-0.1744,-0.3932,-0.2888,-0.0015,0.1372,134,134,134,0,-0.8663,114.96,0.0,0.0,31,1,351.9099,1.5837,0.0104,0.072,15,11,0.049385343,0,15,0,131,260653.45709566952,52.47632050435424,4967.068,12.1482,2.0E-4,15,130209.18083023526,208.5069856532151,624.484,12.5648,0.0017,13,186641.3694341973,160.53195631411975,1162.643,11.5844,9.0E-4,1.216,0,0.9804,0.4166,0.5638,42.84,0.27,2,5500.0,3.5,0.0,NOT_AVAILABLE,22.5045335822,-13.24519418964,289.63309962319,6.9267907614,100001,5363.5,5326.75,5384.0,0.3015,0.1407,0.4987,0.14,0.0814,0.2611,200111,1.08,1.08,1.1,0.875,0.86,0.89,290.215080773,1.1443,-15.1451778929,0.9518,0.888205008447759
227,Gaia DR2 4184306093539476352,289.97667446374,0.1013,-15.2761518178,0.0842,1635721458409799680,4184306093539476352,21492082,2015.5,3.4745,0.1271,27.3279,0.504,0.132,-27.082,0.117,0.6255,-0.6949,0.0521,-0.5973,-0.4197,-0.134,-0.8058,-0.6022,0.3275,0.1541,79,79,79,0,-1.1813,59.96,0.0,0.0,31,0,280.8949,1.5485,0.0197,-0.028,9,6,0.09270221,0,9,1,78,748014.4982880389,439.1022807882816,1703.509,11.0036,6.0E-4,9,370137.67218730063,952.3790318675829,388.645,11.4305,0.0028,9,537107.8706448156,892.7787219269135,601.614,10.4368,0.0018,1.213,0,0.9937,0.4269,0.5668,-32.32,0.8,2,5500.0,3.5,0.0,NOT_AVAILABLE,22.28305347587,-13.09177660452,289.38544511229,6.82885554819,100001,5333.75,5208.27,5897.53,1.454,1.0509,1.943,0.727,0.5453,0.9241,200111,1.87,1.53,1.96,2.551,2.442,2.661,289.976672213,2.0549,-15.2760352136,1.8087,0.903561894243937
226,Gaia DR2 4184245586042699008,289.03660735192,0.0583,-15.40789816205,0.0483,1635721458409799680,4184245586042699008,498182945,2015.5,3.2577,0.0867,37.5776,-1.166,0.24,-27.336,0.15,0.0915,-0.3505,-0.2997,0.1305,-0.4857,-0.4373,0.2565,0.6993,-0.6337,-0.7425,98,98,96,2,3.0551,137.87,0.0,0.0,31,1,582.0139,1.6091,0.0128,-0.128,11,8,0.14790417,0,11,0,88,512714.406545924,206.62157242996514,2481.418,11.4137,4.0E-4,10,276417.5383063657,346.44168458788454,797.876,11.7475,0.0014,11,340983.4371439719,298.0437607583058,1144.072,10.9301,9.0E-4,1.204,0,0.8174,0.3338,0.4836,,,0,,,,NOT_AVAILABLE,21.76770134344,-12.32595095252,288.46286742788,6.8195657443,100001,5815.67,5771.0,6059.46,0.423,0.1969,0.593,0.211,0.1013,0.2961,200111,1.36,1.25,1.38,1.904,1.841,1.966,289.036612559,3.7234,-15.407780467,2.3318,0.997969414666823
225,Gaia DR2 4184202975660299776,288.62112346351,0.0483,-15.81834915507,0.0418,1635721458409799680,4184202975660299776,620415151,2015.5,3.0934,0.053,58.3737,-0.764,0.089,-25.047,0.075,0.0871,0.4531,-0.4886,-0.2956,-0.3524,-0.1395,-0.4698,-0.3869,-0.0024,0.2082,139,139,135,4,6.586,266.66,0.0,0.0,31,1,318.9101,1.6116,0.012,0.059,16,10,0.0595204,0,17,1,133,1277194.5061101534,726.2944072601009,1758.508,10.4227,6.0E-4,15,669854.9383492974,872.9219966749315,767.371,10.7864,0.0014,16,861251.5625399295,1140.0837013000153,755.428,9.9241,0.0014,1.199,1,0.8623,0.3637,0.4986,42.73,1.73,2,6000.0,4.5,0.0,NOT_AVAILABLE,21.21375788963,-12.13750380228,288.00998163304,6.46427633698,100002,5547.3,5409.45,5664.2,,,,,,,200111,2.51,2.41,2.64,5.365,5.241,5.49,288.621126883,1.375,-15.8182413159,1.1559,0.999068762737733
