source_id,l,b,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,G,BP,RP,G_error,BP_error,RP_error,radial_velocity,radial_velocity_error,ruwe,astrometric_excess_noise,astrometric_params_solved,bp_rp,g_rp
6721666531703090432,350.2825996238718,-14.751763626974302,277.0688199412653,0.0155673465,-44.363494248052,0.014859859,12.421280130848341,0.01863552,5.011941695346746,0.018550724,-51.282229943761365,0.015271334,0.38626042,0.36192185,0.014151639,-0.35955077,-0.19999371,-0.3808268,-0.12084436,-0.59561974,-0.19778119,0.26512098,12.585707,13.828843,11.478806,0.001640603009169676,0.006863458132880768,0.0037489500563972432,-2.5647624,2.1495976,1.0818495,0.09742966,31,2.3500376,1.1069012
6709580695582315648,349.74189211760273,-15.040719972464142,277.1468562670437,0.012732089,-44.958017535535774,0.011506812,11.961729192778005,0.014967625,4.810563174515897,0.014736632,-49.523416471276505,0.012058114,0.22095631,0.24856706,-0.06411426,-0.24702775,-0.1213066,-0.27700862,-0.058859184,-0.50815195,-0.17314744,0.18512665,11.619796,12.519143,10.676586,0.001382771457146856,0.004615750459744397,0.0031284971858549027,-2.3833642,0.6294328,1.0097716,0.093882926,31,1.842557,0.94320965
6649788119394186112,339.7773475864629,-20.93634284667386,280.52908164951845,0.014913105,-55.90745659677929,0.014148529,19.435462582119055,0.022876842,12.011120213877113,0.017143525,-79.06763821438693,0.013765272,-0.30903813,-0.19236276,0.018622262,0.049025208,0.30512926,-0.29000637,0.40109128,-0.03939713,-0.44488525,0.14175005,12.330543,13.780916,11.142457,0.002971867847086909,0.014745278821346838,0.007633864205013857,0.19705355,1.2789677,1.262503,0.16099875,31,2.6384592,1.1880856
6643589352010758400,342.77846318484274,-26.247260379506862,290.745785785032,0.01754473,-54.538414066989446,0.01777768,20.930631023118668,0.028598385,24.402797199941578,0.021980658,-82.18575722363535,0.016334595,-0.019616595,-0.05584255,0.22869448,-0.36547226,0.25018296,-0.48974267,0.45160818,0.009368904,-0.6035892,0.014515462,6.9362173,7.161254,6.550911,2.2536429754585225E-4,9.170226762677383E-4,8.47885452207174E-4,0.07390876,0.13064632,0.9608335,0.1375782,31,0.610343,0.38530636
6663346029775435264,351.9137348233653,-24.52016002290496,290.90932691211736,0.015634116,-46.109044533758976,0.01300566,14.03126471063306,0.018158177,18.070257780807882,0.019028611,-57.25246009217189,0.013999676,-0.24797623,-0.17259765,0.13739398,0.072760664,0.14180297,-0.20325209,0.17139086,0.38735363,-0.20525502,-0.0074211564,11.209827,12.071093,10.281577,0.0011999775698352585,0.0041643009733475225,0.002737358025941866,-1.2851719,0.4912013,1.2755262,0.13780452,31,1.7895155,0.9282503
6742986538895222144,3.8311409231211417,-21.413349384694992,291.1457820661295,0.025963306,-34.71127088024054,0.025141794,19.399853830243902,0.030742496,26.374187264149928,0.033325057,-75.59806962845617,0.02873891,0.07144262,0.1274276,-0.021631628,-0.04786043,-0.17152224,-0.41928047,-0.08571772,-0.16676229,-0.15505128,0.09064356,12.77467,14.499736,11.509842,7.489596353057192E-4,0.0028661302841028803,0.0012621419295149982,-1.419557,2.2122583,1.4970189,0.2255234,31,2.989894,1.2648277
6754492966739292928,13.170867187744152,-23.796719014215686,297.06895872301897,0.01899691,-27.34244214415164,0.012087784,15.468447741502288,0.020978637,25.15116891285639,0.021924214,-53.380226042534076,0.0126058785,-0.22055258,-0.18399581,0.11817967,-0.014913269,-0.12618399,-0.20401497,-0.13331802,0.61308724,-0.071416005,-0.28258166,12.20663,13.404496,11.114284,8.186242419750403E-4,0.004268095874637916,0.0022179890312829732,-6.2018757,1.2628995,1.2671179,0.12761721,31,2.2902126,1.0923462
6747106443324127488,7.8935545129309865,-28.311741965135777,300.40504194340247,0.015699025,-33.22083141923273,0.012718262,16.67788900293377,0.017929755,29.232385219972066,0.018795373,-61.38600853654806,0.014477894,0.0027568073,0.05641608,0.049938668,0.0027868045,-0.06483114,-0.17624174,-0.048140164,0.16798967,-0.13578442,-0.08861973,11.455245,12.507052,10.435384,8.750640242914712E-4,0.0032316603807943348,0.001980736171180227,-4.128671,0.4594157,1.0910399,0.13389698,31,2.0716686,1.0198612
6847146784384459648,16.015601271497903,-27.829917291293068,302.2719316547327,0.01687128,-26.224333009658217,0.013579282,19.957325086214112,0.021367421,40.33578487499655,0.021192247,-67.41690060565291,0.014353083,0.17363364,0.22309066,-0.03209959,-0.045000203,-0.078450084,-0.23025708,0.0052342885,0.26345247,-0.43972844,-0.08793194,7.076727,7.299412,6.6926794,2.6503027610233764E-4,8.943546133336875E-4,5.905390491011973E-4,-6.134498,0.1540332,0.8782802,0.11276691,31,0.60673237,0.3840475
6800238044930953600,18.24751904769576,-33.000174077295085,308.40691571574945,0.033101093,-25.94813996441554,0.025408262,22.903079455111634,0.040336058,53.82927596218357,0.03751643,-74.28932213083957,0.030111829,0.3011594,0.24230838,0.08023976,-0.04017869,-0.20222406,-0.18297179,-0.10309547,0.11384903,-0.32481298,-0.26913616,13.08431,15.111928,11.752838,7.188396464072713E-4,0.002406854938646519,0.0016400485889517397,,,1.9612122,0.32462835,31,3.3590899,1.3314714
6833292181958100224,29.25167940985478,-38.94667040709297,317.5227489126817,0.025491128,-19.333074282901055,0.016454902,30.89793861553371,0.028865062,90.61036230113763,0.032350417,-90.99489799538566,0.021991955,0.12852661,0.25230786,-0.13397476,-0.06749656,-0.16239487,0.05951488,-0.14262913,-0.4001701,-0.25203517,-0.17170592,10.80644,12.095318,9.674355,0.0018926340391176482,0.009258462735094482,0.005024849098350903,-6.4346495,0.8800502,1.1778432,0.1539311,31,2.4209633,1.1320858
6382640367603744128,315.92765641714533,-42.024522688100085,340.70523481724115,0.00821972,-71.70612167520389,0.010937887,27.231483378389388,0.011345515,94.85392450898829,0.009851635,-52.38401799984418,0.0128683755,-0.12469477,-0.28288123,0.0116601065,-0.086009435,0.18886746,-0.18247856,0.2113274,-0.27486125,-0.2809246,-0.19686449,9.821707,10.665428,8.915227,0.0012426370613083115,0.004516426869746273,0.00319601117894077,7.0229354,0.21187687,0.9250941,0.06582516,31,1.7502012,0.90647984
