ID,RAJ2000,DEJ2000,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_mean_mag,phot_g_mean_mag_error,phot_bp_mean_mag,phot_bp_mean_mag_error,phot_rp_mean_mag,phot_rp_mean_mag_error,radial_velocity,radial_velocity_error,ra_epoch2000,ra_epoch2000_error,dec_epoch2000,dec_epoch2000_error,astrometric_chi2_al,astrometric_n_good_obs_al,phot_bp_rp_excess_factor,phot_bp_n_obs,phot_rp_n_obs
11,289.770324086,-13.4599998272,4185667112826157696,289.77032096281,0.0398,-13.46011559008,0.0361,3.2002,0.0461,-0.705,0.082,-26.887,0.063,-0.1757,0.1042,0.1463,-0.3896,-0.5433,-0.3332,0.0214,0.0477,-0.1004,-0.2461,14.6662,7.0E-4,15.4105,0.0049,13.8163,0.0021,,,289.770324086,1.2774,-13.4599998272,0.983,76.47,115,1.301,12,13
12,289.721937962,-14.4268839014,4185533526471769088,289.72193263126,0.0465,-14.42700360075,0.0423,3.2604,0.053,-1.199,0.091,-27.801,0.077,-0.0228,0.3106,-0.4147,-0.1926,-0.431,-0.0579,-0.469,-0.3546,0.1489,0.0958,10.2746,4.0E-4,10.6552,0.0011,9.7526,5.0E-4,,,289.721937962,1.4047,-14.4268839014,1.1991,217.43,127,1.205,16,11
13,288.861193089,-14.204758823,4185236383460552192,288.86118890547,0.0377,-14.20486967347,0.0347,3.0581,0.0401,-0.942,0.072,-25.746,0.061,0.2842,-0.0308,-0.3641,-0.306,-0.2661,-0.2215,-0.431,-0.2179,-0.0677,0.1181,12.2582,2.0E-4,12.6452,0.0017,11.7196,0.001,,,288.861193089,1.1137,-14.204758823,0.9395,149.88,141,1.213,15,15
14,290.839545571,-13.8557265351,4184913676789036160,290.83953497227,0.1051,-13.85583791279,0.0932,3.3638,0.1194,-2.39,0.204,-25.868,0.169,0.1704,0.0217,-0.235,-0.2796,-0.3516,-0.1676,-0.275,-0.2367,0.0425,0.1813,17.5097,0.0013,18.8393,0.0481,16.2924,0.0076,,,290.839545571,3.157,-13.8557265351,2.6207,240.78,193,1.523,19,20
15,290.460001776,-14.5761066035,4184719200659984640,290.45999503987,0.1867,-14.57622973408,0.1925,3.7016,0.2273,-1.514,0.352,-28.598,0.32,0.3634,-0.0974,-0.189,-0.3268,-0.375,-0.1262,-0.3565,-0.3953,0.1175,0.3365,18.5084,0.003,18.3869,0.019,18.4261,0.068,,,290.460001776,5.4555,-14.5761066035,4.9603,152.27,153,1.28,11,12
16,289.251451558,-15.1816448143,4184343197746728832,289.25144675893,0.0382,-15.18176401483,0.0412,3.3197,0.0567,-1.076,0.081,-27.685,0.073,0.1651,0.0658,-0.2458,-0.0936,-0.5695,0.1903,-0.3716,-0.4909,0.2989,0.1961,11.9292,2.0E-4,12.3183,0.0018,11.3888,0.0012,40.2,0.32,289.251451558,1.2509,-15.1816448143,1.1358,113.83,141,1.213,14,14
17,290.215080773,-15.1451778929,4184312003414626688,290.21507555391,0.0393,-15.1453013092,0.0345,3.4954,0.0431,-1.17,0.074,-28.664,0.061,0.3241,-0.1273,-0.2682,-0.2979,-0.2869,-0.1744,-0.3932,-0.2888,-0.0015,0.1372,12.1482,2.0E-4,12.5648,0.0017,11.5844,9.0E-4,42.84,0.27,290.215080773,1.1443,-15.1451778929,0.9518,114.96,134,1.216,15,13
18,289.976672213,-15.2760352136,4184306093539476352,289.97667446374,0.1013,-15.2761518178,0.0842,3.4745,0.1271,0.504,0.132,-27.082,0.117,0.6255,-0.6949,0.0521,-0.5973,-0.4197,-0.134,-0.8058,-0.6022,0.3275,0.1541,11.0036,6.0E-4,11.4305,0.0028,10.4368,0.0018,-32.32,0.8,289.976672213,2.0549,-15.2760352136,1.8087,59.96,79,1.213,9,9
19,289.036612559,-15.407780467,4184245586042699008,289.03660735192,0.0583,-15.40789816205,0.0483,3.2577,0.0867,-1.166,0.24,-27.336,0.15,0.0915,-0.3505,-0.2997,0.1305,-0.4857,-0.4373,0.2565,0.6993,-0.6337,-0.7425,11.4137,4.0E-4,11.7475,0.0014,10.9301,9.0E-4,,,289.036612559,3.7234,-15.407780467,2.3318,137.87,96,1.204,10,11
20,288.621126883,-15.8182413159,4184202975660299776,288.62112346351,0.0483,-15.81834915507,0.0418,3.0934,0.053,-0.764,0.089,-25.047,0.075,0.0871,0.4531,-0.4886,-0.2956,-0.3524,-0.1395,-0.4698,-0.3869,-0.0024,0.2082,10.4227,6.0E-4,10.7864,0.0014,9.9241,0.0014,42.73,1.73,288.621126883,1.375,-15.8182413159,1.1559,266.66,135,1.199,15,16
